"","Lake","code","Longitude","Latitude","Region","Year"
"204","Pastos Grandes","Vldr-SL_PstsGrnd16",-67.78333333,-21.65,"Sud Lipez",2002
"205","Pastos Grandes","Vldr-SL_PstsGrnd2",-67.78333333,-21.65,"Sud Lipez",2002
"206","Pastos Grandes","Vldr-SL_PstsGrnd3",-67.78333333,-21.65,"Sud Lipez",2002
"207","Pastos Grandes","Vldr-SL_PstsGrnd4",-67.78333333,-21.65,"Sud Lipez",2002
"208","Pastos Grandes","Vldr-SL_PstsGrnd5",-67.78333333,-21.65,"Sud Lipez",2002
"209","Pastos Grandes","Vldr-SL_PstsGrnd6",-67.78333333,-21.65,"Sud Lipez",2002
"210","Pastos Grandes","Vldr-SL_PstsGrnd7",-67.78333333,-21.65,"Sud Lipez",2002
"211","Pastos Grandes","Vldr-SL_PstsGrnd8",-67.78333333,-21.65,"Sud Lipez",2002
"212","Pastos Grandes","Vldr-SL_PstsGrnd9",-67.78333333,-21.65,"Sud Lipez",2002
"213","Pujio","Vldr-SL_Pujio",-68.06666667,-21.61666667,"Sud Lipez",2002
"214","Puripica","Vldr-SL_Puripica",-67.5,-22.51666667,"Sud Lipez",2002
"215","Laguna Ramaditas","Vldr-SL_Ramadits",-68.078817,-21.643133,"Sud Lipez",2002
